"alpha","tau","delta","convergence"
4.64367387,0.4410391559,1.02969103275,1
1.368738875,0.8192799495,0.731945085,1
4.4844872375,0.195996330475,1.23618727125,1
1.00049436425,0.1346451975,1.81245105725,1
4.5089066475,0.803986057,1.08901147825,1
3.7185249525,0.425651943025,0.8714635435,1
2.9938696975,0.449437534,1.3115718025,1
2.5109421725,0.37646820725,1.049217408,1
5.726634725,0.198170110675,1.664646385,1
1.247330275,0.77764282825,0.782015777,1
2.985988405,0.040139811075,0.79217539725,1
2.045132405,0.326268451,1.2316706915,1
1.6040602225,0.36215175575,1.12196466675,1
1.9206194125,0.429860938,1.4643499175,1
1.96846433,0.45121434725,1.6859698375,1
2.0821459875,0.617525478,0.3381459027425,1
2.91080225,0.059823911975,1.191450664,1
4.1115134175,0.3738692266,1.570427785,1
3.357932355,0.33023395555,0.75195088825,1
2.91780241,0.151502695125,1.19887061425,1
1.1968114125,0.16506380175,1.63260175275,1
1.6918103225,0.0813360247,0.71010467975,1
3.5968515275,0.114047235675,1.7698368575,1
2.4774421,0.098908295725,0.661300936,1
2.4008093725,0.75640787025,0.75837289375,1
5.2928659925,0.14171876455,1.3014893715,1
3.6922917375,0.157087848275,1.08228991125,1
0.761387622,0.4136639045,0.989910357625,1
2.395271395,0.093958293825,1.89767489,1
5.0943964675,0.237107381725,1.7114678025,1
2.4208587075,0.35724830325,1.4835465875,1
1.719502675,0.228538827,1.45924036925,1
4.3149416975,0.28746526555,2.067627745,0
4.5983338625,0.117842820025,0.6461524025,1
6.4126903775,0.453586117275,1.983897625,1
0.97889975175,0.0579209319,1.99950896,1
5.0925138975,0.35575374205,1.09524664975,1
3.256536455,0.74821899425,0.91524055875,1
2.4222557625,0.69557689925,1.9030667625,1
2.1125806425,0.1030076439,1.76938987,1
2.76545444,0.028134147925,1.71743332,1
1.596393955,0.223256723,0.78215933075,1
4.2314228775,0.320317665725,1.42438821,1
4.6401707725,1.193747566,0.529338399,1
3.32133359,0.310158479575,1.895056525,1
2.2992630725,0.0575151586,1.1926271285,1
3.0946092125,1.0028448595,1.4218043645,1
0.968050759,0.194392991,1.131466763,1
2.21431816,0.54874939,1.557263785,1
4.1738837075,0.38631308395,1.05840839675,1
1.01780192425,0.335066357,1.218526737,1
2.5261887425,0.074508767075,0.52523569825,1
2.3744590025,0.430422402,1.44822113,1
3.915424215,0.2943177801,1.2887219975,1
2.74419227,0.997588779,0.89194476225,1
3.50482785,0.074095919675,1.113764962,1
1.52117839,0.1274595155,0.65327557625,1
4.92847078,0.258686229025,1.3686901515,1
4.6894623725,0.10390898265,0.87051306975,1
5.4917355025,0.2582204209,1.5180284075,1
6.2658549125,0.371199898775,1.0534076955,1
1.4149591,0.08470623145,1.64635603875,1
4.50453423,0.193610532925,1.5118546475,1
1.151146867,0.393904876,1.491448585,1
1.8528598275,0.06167620195,1.545157051,1
