"alpha","tau","delta","convergence"
0.498748076340838,0.120865300213778,0.0975087981173609,1
0.0709247870789185,0.0140933167411593,0.158770668764231,1
0.523460082391397,0.0998518059607321,0.119586968856223,1
0.0590685005935538,0.00637785211355589,0.247833423609795,1
0.530912994075117,0.123456856937434,0.10863886531306,1
0.294586083167632,0.0865039949526243,0.0845957651868815,1
0.279436035617516,0.0549125828183877,0.122220642741908,1
0.177914535210491,0.0395169725578748,0.111141481079319,1
0.827962702308913,0.120320494119887,0.170131841485078,1
0.062707264882481,0.0101986698492708,0.170309033424911,1
0.154883314559019,0.0227700516595214,0.0883000270768383,1
0.140304882031227,0.0267800096946381,0.133938451194496,1
0.093310856674981,0.0166024120606359,0.148303993623919,1
0.141979467344108,0.0252741453969178,0.147201676044821,1
0.16412164253013,0.0235913128269474,0.167185156865128,1
0.1016956761638,0.0303068790234998,0.102600705071182,1
0.198096124761311,0.0308847235386113,0.112596808433423,1
0.815861645184535,0.131579557331787,0.180453625438857,1
0.235205311272974,0.0803418040815209,0.0785184674708903,1
0.242987847679615,0.0494370008514053,0.117162154761021,1
0.0691755990934869,0.00849330318967331,0.201743935469679,1
0.0851353527328232,0.0194713087992155,0.132372433114234,1
0.429866739824208,0.0578859616611491,0.169389556059473,1
0.13616129663515,0.0379520715594956,0.0895300473066785,1
0.140905339888109,0.0404402917904834,0.097705520474796,1
0.538080717245362,0.0853316672302372,0.123294609454056,1
0.32416650860612,0.0704279265632423,0.102464228087673,1
0.0373267296197865,0.00419268424349738,0.279051445078824,1
0.263603862218193,0.0336280542211328,0.182842386707465,1
0.810185455194889,0.11893902663397,0.181507356265223,1
0.213643754527172,0.034819463141448,0.147376448625729,1
0.109490757392042,0.0155950052354959,0.162154720571002,1
0.878088199695312,0.110759591664286,0.241296548808995,0
0.293579177452207,0.0698311819176911,0.068170011772089,1
1.41956839486236,0.198979407873528,0.234068396890129,1
0.0605324276329341,0.00618818896109209,0.254390608580883,1
0.671594119187599,0.15907816879464,0.108359034173357,1
0.24887591031419,0.0661362305236826,0.0927878024808911,1
0.297677030926563,0.0412356068191622,0.188038602280836,1
0.180687626124953,0.0240830467118888,0.170528141768644,1
0.201223372096797,0.0143641164391516,0.1584823426351,1
0.0860816519910623,0.018816384730172,0.139495852767271,1
0.649466915494181,0.1189982116805,0.147819403626243,1
0.299719931297591,0.133863155738146,0.0591894970779562,1
0.455699330279754,0.0615988416566812,0.187362019688703,1
0.151756712540451,0.0257541964405723,0.126788491571626,1
0.362048060224444,0.0688776960506162,0.138458025133407,1
0.0515276881331048,0.00721059546463797,0.220564099940159,1
0.177166994001014,0.026893638538823,0.150786523177858,1
0.479276633577366,0.117947682193811,0.103805436274067,1
0.050963550861141,0.00637252293167154,0.221957014212058,1
0.119084247341682,0.0333931487469435,0.0866170464361925,1
0.200692873074645,0.0339787907791625,0.14454866570869,1
0.451585300083602,0.0853236864938169,0.124811146011875,1
0.171732633072496,0.0429048749507651,0.097957227334845,1
0.255648928823357,0.0409351587748885,0.103806608996366,1
0.0778378228239549,0.017235679864393,0.137635989736049,1
0.634128136998411,0.11484833177152,0.133281669652518,1
0.330213694913723,0.0658775273968179,0.0798014197078958,1
0.800437378896239,0.127407159565424,0.153720320163753,1
0.821142947477716,0.18927328253133,0.103879730394957,1
0.0907247681949698,0.0129134467850682,0.192011432996098,1
0.60170566833655,0.099719814410486,0.149202798949381,1
0.0665629029819663,0.00938569175021381,0.203187131080881,1
0.132875862081968,0.0212068575994812,0.158293494026445,1
0.110776194872579,0.021223414682057,0.135343896973749,1
0.191293916944486,0.0390736026441589,0.126132707776919,1
0.70649418221137,0.101867907862509,0.178402758822335,1
0.458785218161159,0.0832992797872108,0.122171919786167,1
0.74255587026864,0.0938652860399007,0.214853677461725,1
0.244142247550146,0.0438409136615322,0.0782837515562634,1
1.1107434935531,0.143110721874133,0.240092567986683,1
0.35618652227352,0.0771137068636112,0.0949646465538597,1
0.248831413956995,0.0413631062706829,0.136946857043892,1
0.346217249203824,0.0797329044962366,0.101460254305837,1
0.0505362328309964,0.00654579001746452,0.218760406770678,1
1.40211679909771,0.226925371059121,0.201064962826914,1
0.0612253561861611,0.00681827144236972,0.226937137496417,1
0.370048657131571,0.0472907278954502,0.1415777795184,1
0.796769691704377,0.101970814081462,0.252192778090317,1
0.799964338213861,0.101901406280715,0.203034972940504,1
0.699512575357492,0.0988803208221397,0.197318816336303,1
0.268674405100272,0.041090221404562,0.117196444011248,1
0.0913366027734075,0.0107461471038993,0.2111574749798,1
0.217290335513463,0.0320154251577833,0.158193402249205,1
0.283980583031482,0.0770892189047023,0.0943106002398792,1
0.616277454415844,0.12785552138654,0.12405706971595,1
0.766350964034842,0.117263987983754,0.162342337286788,1
0.0562735538846479,0.00877686869688447,0.187154537742904,1
0.183517086350251,0.0516033981332984,0.0965394157142817,1
1.91752902333631,0.253325908404478,0.29818433593446,0
0.100946892400149,0.0165175838858235,0.164864194066139,1
0.691086772417773,0.0784800238970974,0.183208764334306,1
0.648285611804553,0.0730213928819936,0.262028601138886,0
0.282146804326024,0.087009558938537,0.0632463750649118,1
0.168602669788631,0.0369420860739619,0.113711058208285,1
0.667759307758634,0.089268179966412,0.166339207598381,1
0.404186576609474,0.0538379462674839,0.175029882747613,1
0.18877040775772,0.0286922907935825,0.128570173112203,1
0.144377024039772,0.0405224575619188,0.0991465151400919,1
0.375679175046628,0.0590483423497373,0.160227501644562,1
0.0922364727718262,0.0166362455324758,0.153157519630567,1
0.521301863688825,0.0730212659822418,0.177994028929275,1
0.313854427838533,0.0869421305039833,0.0928551551649089,1
0.697256544884145,0.117801697583956,0.156980582628282,1
0.561230498029895,0.1168305400487,0.116034660198011,1
0.0450692426560549,0.00488346642252734,0.263968115934475,1
0.0558457853550069,0.00711923573622146,0.226153228622469,1
0.150469273983417,0.0256242625507411,0.128881382039248,1
0.168955201692987,0.05637176954015,0.0728100494042175,1
0.418265719876218,0.0601004512425908,0.18743782608156,1
0.041516366440276,0.00460878959492484,0.256830241530297,1
0.0521504839387625,0.00655819143775618,0.227344520564933,1
0.311194120964135,0.0803990819655828,0.0954564125586983,1
0.569500958385739,0.125576215695275,0.102763490492229,1
0.292521826287904,0.0637834065726374,0.109026121093105,1
0.0864521945425892,0.0134478122259418,0.175602406976585,1
0.838821501554571,0.123986923235082,0.195220265498507,1
0.126877387086227,0.0241135051775035,0.141877737478139,1
0.689950313149348,0.101967552728008,0.182473548374858,1
0.188094621389277,0.0302994971595935,0.151798044584906,1
0.728772887040743,0.109054752115526,0.197403621213475,1
0.235638510160128,0.0712179747091717,0.067473326691175,1
0.276417011842036,0.058815121148934,0.106940106497739,1
0.84947661047043,0.115908357883935,0.206540685965901,1
0.194515528975239,0.0396974406923663,0.120449651815214,1
0.0515210970225594,0.00765588906507135,0.200534562066377,1
0.909883510014701,0.125351494164777,0.237954414919023,0
0.298251676414695,0.0428201004484177,0.167557468326125,1
0.460587333584636,0.0722614679560603,0.141026140941913,1
0.0546492858731507,0.00749239872624587,0.209886311830536,1
0.936778199575151,0.108488471215722,0.281940856516639,1
0.274096965004283,0.0773405650664503,0.0699791820069053,1
0.781729051349599,0.0873535263264799,0.238320942439519,1
1.1391948351391,0.169332927805698,0.226003018940303,1
0.328359025126537,0.089778716399433,0.0879629127162612,1
0.0691755301654985,0.0145413862969159,0.152667111172649,1
0.575266685203458,0.0915991152593943,0.147543865495752,1
0.700190461380503,0.106100675455332,0.193149235600477,1
0.0822793108485409,0.0167757961859435,0.142959224387687,1
0.0936056830067164,0.0155036113111346,0.151236515011968,1
0.286380198487951,0.027962706244735,0.193796506649284,1
0.0419821978570184,0.00430742074765384,0.277306620021322,1
0.120226559270727,0.0335123197232391,0.104685515527078,1
0.367131443313259,0.0440601825207214,0.102892553896045,1
0.398008521388765,0.0447209020754962,0.200539139997936,1
0.144427771411398,0.0262688117101804,0.146766169380562,1
0.100103242851479,0.0217437530857497,0.121123390086386,1
0.642995430653551,0.0939913787358733,0.186095343041563,1
0.223208220135183,0.0749298499629307,0.0758019424156056,1
0.0843887596101586,0.0158578925665987,0.1462143347402,1
0.237184740148358,0.0864194355402366,0.0671301317840592,1
0.32557984720222,0.0540186204494715,0.141964729752448,1
0.0633405324754656,0.00726688940649023,0.233840091020023,1
0.162244114710736,0.0198163323620207,0.184759948704217,1
0.0472420420487445,0.0023057504961535,0.201343434273786,1
0.123107637807914,0.0157084026915346,0.200411937741368,1
0.144926630755928,0.0469757811881523,0.0893436840739395,1
0.166625738450227,0.0258799176520326,0.15384297554206,1
0.498660137193335,0.103429872731479,0.115724574627469,1
0.743167578349512,0.101142571622269,0.161449543852196,1
0.263963409072772,0.0639631709589032,0.0981639888485163,1
0.187820218022806,0.0687297383150532,0.0756515788003081,1
0.0838255771085853,0.0201647924330399,0.120440264007913,1
0.230548117431008,0.0599858548530404,0.0625812127966968,1
0.0937043478514816,0.0148917088522742,0.169199908774991,1
0.710360088926076,0.101343220991672,0.19692965347954,1
0.756871999788338,0.117049825631434,0.191866975262863,1
0.22374569124396,0.0646576528193191,0.0574641904366896,1
0.0381335407758062,0.00430537326864113,0.255368373934875,1
0.100468153690708,0.0142326919488481,0.182300569074168,1
0.0568802574613965,0.00568851652373973,0.268923197875603,1
0.206939379976815,0.0289902968218857,0.182761029449226,1
0.0830736228872299,0.00830827123822642,0.243620382728498,1
0.424002508764244,0.06576587687127,0.159595905064547,1
0.319457175553872,0.0459831209241764,0.169208906395907,1
0.0966036458017457,0.0243178926102645,0.117999193977429,1
0.488170720499644,0.102189784268203,0.113691556128278,1
0.183137982542709,0.0623416022472642,0.081242969438035,1
0.660281540237858,0.0923134925938225,0.206782027991502,1
0.496193091481322,0.0719852412107398,0.181613928969532,1
0.132154096594184,0.0335827849944397,0.103937791909172,1
0.43169813082657,0.0657939151399376,0.140023044118933,1
0.481544977672983,0.113237476615682,0.0961641150464281,1
0.963457457958646,0.176618508824345,0.149960639473585,1
0.156716633428167,0.0242487374469829,0.164567910145278,1
0.173778464684214,0.0428990875236605,0.105292068831965,1
0.184472521463067,0.0569510716163372,0.0848073250052025,1
0.163334303966478,0.0429382545854475,0.0746903901529941,1
0.0501376227943944,0.00750617418514708,0.199669619499795,1
0.344414363584412,0.0709277580769474,0.09354636720177,1
0.203652122277554,0.0738076813917649,0.0754871751483579,1
0.156278505053198,0.0236028647103662,0.165074422584366,1
0.0871589160113454,0.0114128466923601,0.201739676536002,1
0.210190000944388,0.0308855571161665,0.0808466508371636,1
0.252360123886652,0.0222650717885681,0.165923011162096,1
0.724067158776577,0.0918034369421043,0.186030130863444,1
0.323691198742922,0.12960269098915,0.0614934238718457,1
0.0535144225065369,0.00835954743020169,0.192280593696398,1
0.656107476261286,0.063430889927383,0.310681239947582,1
0.0792822424785594,0.0183415133133552,0.122829398187822,1
0.0624755146107917,0.0108611385407816,0.167002970826169,1
0.0318405353396615,0.00339162219793731,0.277619874720284,1
0.224653517701528,0.0452729194795879,0.0727469013896584,1
0.122789224221872,0.0103221960377043,0.192291986257514,1
0.103330785724801,0.029940847068646,0.100955851743004,1
0.527454921506315,0.0660780158827933,0.212424034887654,1
0.300443909601825,0.105014891323264,0.0742828687949407,1
0.302106582883846,0.0588593124402282,0.123585590440115,1
0.28107070354962,0.0533559244879173,0.0816581115410319,1
1.51309954782304,0.157333351111524,0.324551004759909,0
0.302202720684198,0.0872199708999673,0.0842268341713086,1
0.21650669165756,0.0746756605634851,0.0764026137116283,1
0.622882571776115,0.112376986330256,0.13560080929447,1
0.0518125632604861,0.00793276198501672,0.196131016761712,1
0.046415357675421,0.00589008080345888,0.224020201989271,1
0.265473736969194,0.0310281374522332,0.183355946565168,1
0.852211094074964,0.100417745539833,0.275604703292188,1
0.0567457216491126,0.00554478134449997,0.274389066248741,1
0.12527871652544,0.0130267357457157,0.203315747379802,1
0.470574084440101,0.0724289930476052,0.163321360967561,1
0.180855220581515,0.0394229261981386,0.121392209115766,1
0.299142833614914,0.0540934089260691,0.129782407455399,1
0.143447653989627,0.0455114573960729,0.0894490905643947,1
0.758744466922077,0.150366965167509,0.143121971248583,1
0.157108167029563,0.034226027207762,0.124669093194455,1
0.176995817064719,0.057698635960145,0.0824862874900474,1
0.260622243996098,0.0967648762750237,0.0643887974261173,1
0.473886046637981,0.104687819741196,0.106145875180389,1
0.160759247239944,0.0226965843664887,0.0779541850968487,1
0.141876839415164,0.0437074099754274,0.0921316491495382,1
0.0364168029269436,0.00440826561560147,0.257270843625811,1
0.200220568337012,0.0589483718351046,0.08918104894563,1
0.47937050527083,0.0960722073072383,0.126774920057676,1
0.864215513229221,0.151554440995944,0.170704215383045,1
0.241914688806883,0.0828374223824447,0.0782524999585242,1
0.0480065851470619,0.00703339821222302,0.217246770153715,1
0.108804837439566,0.0194018115064455,0.150946186120677,1
0.524668320681679,0.0724823589711051,0.193718795082872,1
0.388227166591757,0.0602458929776813,0.170884586016752,1
0.140116131502913,0.0467817331398352,0.0835062537893768,1
0.314601053169177,0.0686602694308628,0.0754110296674306,1
0.0551292675904679,0.0090563241583569,0.185686991016758,1
0.0578514578409279,0.00823587424267519,0.198748500608505,1
0.101767421098772,0.0177656020060864,0.151297548829402,1
0.41860968428741,0.114353465305514,0.0718942436310857,1
0.321617820915591,0.0451460931399684,0.186121109210586,1
0.220765587618132,0.0450300260241592,0.114739262945836,1
0.116001520881755,0.0265469783235806,0.12305213941121,1
0.273508116467893,0.0941995007980747,0.0734484607600117,1
0.127628151100798,0.0180552592057967,0.169738871963411,1
0.0683337122435339,0.0149763213473259,0.141333110795696,1
0.0609870644059052,0.0100291896546685,0.191120729206076,1
0.665192109530965,0.0920557256726287,0.207319653072102,1
0.0466116886776305,0.00480421837745819,0.280857787984816,1
0.0496221673475382,0.00767816646901432,0.197246108030218,1
0.0807134718741493,0.00551441653301014,0.183745076018829,1
0.115977668155949,0.0185979949654391,0.162167419552725,1
0.914156544029383,0.14160755320012,0.196307171690291,0
0.113152222412333,0.0151099360701355,0.184969682464142,1
