"id" "instruction" "strength_bin" "response" "rt" "y" "y_dummy"
"1" "jf" "accuracy" "0" "dark" 0.801 0 1
"2" "jf" "accuracy" "0" "dark" 0.68 0 1
"3" "jf" "accuracy" "3" "light" 0.694 1 0
"4" "jf" "accuracy" "4" "light" 0.582 1 0
"5" "jf" "accuracy" "3" "dark" 0.925 0 1
"6" "jf" "accuracy" "0" "dark" 0.605 0 1
"7" "jf" "accuracy" "4" "light" 0.626 1 0
"8" "jf" "accuracy" "2" "dark" 0.736 0 1
"9" "jf" "accuracy" "0" "dark" 0.662 0 1
"10" "jf" "accuracy" "2" "light" 0.8 1 0
"11" "jf" "accuracy" "4" "light" 0.563 1 0
"12" "jf" "accuracy" "1" "dark" 0.685 0 1
"13" "jf" "accuracy" "4" "light" 0.625 1 0
"14" "jf" "accuracy" "0" "dark" 0.618 0 1
"15" "jf" "accuracy" "0" "dark" 0.911 0 1
"16" "jf" "accuracy" "1" "dark" 0.794 0 1
"17" "jf" "accuracy" "3" "light" 0.558 1 0
"18" "jf" "accuracy" "3" "light" 0.532 1 0
"19" "jf" "accuracy" "4" "light" 0.482 1 0
"20" "jf" "accuracy" "1" "dark" 0.604 0 1
"21" "jf" "accuracy" "2" "dark" 0.986 0 1
"22" "jf" "accuracy" "0" "dark" 0.622 0 1
"23" "jf" "accuracy" "2" "light" 0.732 1 0
"24" "jf" "accuracy" "3" "light" 0.529 1 0
"25" "jf" "accuracy" "0" "dark" 0.578 0 1
"26" "jf" "accuracy" "1" "light" 1.85 1 0
"27" "jf" "accuracy" "0" "dark" 1.03 0 1
"28" "jf" "accuracy" "4" "light" 0.989 1 0
"29" "jf" "accuracy" "3" "light" 1.01 1 0
"30" "jf" "accuracy" "3" "light" 1.318 1 0
"31" "jf" "accuracy" "4" "light" 1.373 1 0
"32" "jf" "accuracy" "4" "light" 1.308 1 0
"33" "jf" "accuracy" "0" "dark" 0.743 0 1
"34" "jf" "accuracy" "2" "light" 1.948 1 0
"35" "jf" "accuracy" "3" "light" 1.498 1 0
"36" "jf" "accuracy" "0" "dark" 0.783 0 1
"37" "jf" "accuracy" "1" "dark" 0.911 0 1
"38" "jf" "accuracy" "0" "dark" 0.73 0 1
"39" "jf" "accuracy" "3" "light" 0.691 1 0
"40" "jf" "accuracy" "1" "dark" 0.867 0 1
"41" "jf" "accuracy" "1" "dark" 0.861 0 1
"42" "jf" "accuracy" "4" "light" 0.767 1 0
"43" "jf" "accuracy" "0" "dark" 0.767 0 1
"44" "jf" "accuracy" "0" "dark" 0.729 0 1
"45" "jf" "accuracy" "0" "dark" 0.96 0 1
"46" "jf" "accuracy" "1" "light" 1.379 1 0
"47" "jf" "accuracy" "1" "dark" 1.537 0 1
"48" "jf" "accuracy" "4" "light" 0.583 1 0
"49" "jf" "accuracy" "1" "dark" 0.601 0 1
"50" "jf" "accuracy" "4" "light" 0.635 1 0
"51" "jf" "accuracy" "4" "light" 1.323 1 0
"52" "jf" "accuracy" "4" "light" 1.111 1 0
"53" "jf" "accuracy" "3" "light" 1.257 1 0
"54" "jf" "accuracy" "0" "dark" 0.668 0 1
"55" "jf" "accuracy" "0" "dark" 0.679 0 1
"56" "jf" "accuracy" "3" "light" 0.973 1 0
"57" "jf" "accuracy" "4" "light" 0.58 1 0
"58" "jf" "accuracy" "3" "light" 0.963 1 0
"59" "jf" "accuracy" "3" "dark" 1.436 0 1
"60" "jf" "accuracy" "1" "dark" 0.589 0 1
"61" "jf" "accuracy" "0" "dark" 0.58 0 1
"62" "jf" "accuracy" "0" "dark" 1.045 0 1
"63" "jf" "accuracy" "4" "light" 0.749 1 0
"64" "jf" "accuracy" "3" "dark" 1.802 0 1
"65" "jf" "accuracy" "4" "light" 0.633 1 0
"66" "jf" "accuracy" "1" "dark" 1.016 0 1
"67" "jf" "accuracy" "3" "light" 0.799 1 0
"68" "jf" "accuracy" "2" "light" 0.747 1 0
"69" "jf" "accuracy" "3" "light" 2.341 1 0
"70" "jf" "accuracy" "3" "light" 2.747 1 0
"71" "jf" "accuracy" "4" "light" 0.795 1 0
"72" "jf" "accuracy" "4" "dark" 1.38 0 1
"73" "jf" "accuracy" "4" "light" 0.709 1 0
"74" "jf" "accuracy" "4" "light" 0.995 1 0
"75" "jf" "accuracy" "0" "dark" 0.669 0 1
"76" "jf" "accuracy" "4" "light" 1.238 1 0
"77" "jf" "accuracy" "3" "light" 0.63 1 0
"78" "jf" "accuracy" "3" "dark" 1.38 0 1
"79" "jf" "accuracy" "0" "dark" 0.573 0 1
"80" "jf" "accuracy" "0" "dark" 0.696 0 1
"81" "jf" "accuracy" "0" "dark" 0.689 0 1
"82" "jf" "accuracy" "0" "light" 0.726 1 0
"83" "jf" "accuracy" "4" "light" 1.989 1 0
"84" "jf" "accuracy" "2" "dark" 2.14 0 1
"85" "jf" "accuracy" "4" "light" 1.65 1 0
"86" "jf" "accuracy" "3" "dark" 2.257 0 1
"87" "jf" "accuracy" "4" "light" 2.179 1 0
"88" "jf" "accuracy" "0" "dark" 1.198 0 1
"89" "jf" "accuracy" "0" "dark" 1.392 0 1
"90" "jf" "accuracy" "3" "light" 1.453 1 0
"91" "jf" "accuracy" "0" "dark" 1.446 0 1
"92" "jf" "accuracy" "4" "light" 1.817 1 0
"93" "jf" "accuracy" "0" "dark" 1.363 0 1
"94" "jf" "accuracy" "3" "light" 1.486 1 0
"95" "jf" "accuracy" "4" "light" 1.094 1 0
"96" "jf" "accuracy" "3" "light" 2.739 1 0
"97" "jf" "accuracy" "4" "dark" 2.338 0 1
"98" "jf" "accuracy" "1" "dark" 0.806 0 1
"99" "jf" "accuracy" "0" "dark" 1.498 0 1
"100" "jf" "accuracy" "4" "light" 1.601 1 0
"101" "jf" "accuracy" "3" "light" 2.276 1 0
"102" "jf" "accuracy" "4" "light" 2.689 1 0
"103" "jf" "accuracy" "3" "light" 2.002 1 0
"104" "jf" "accuracy" "4" "light" 2.778 1 0
"105" "jf" "accuracy" "4" "light" 0.993 1 0
"106" "jf" "accuracy" "3" "dark" 2.231 0 1
"107" "jf" "accuracy" "1" "dark" 1.061 0 1
"108" "jf" "accuracy" "4" "light" 1.137 1 0
"109" "jf" "accuracy" "1" "dark" 0.867 0 1
"110" "jf" "accuracy" "3" "light" 1.039 1 0
"111" "jf" "accuracy" "4" "light" 1.341 1 0
"112" "jf" "accuracy" "1" "dark" 1.099 0 1
"113" "jf" "accuracy" "0" "dark" 1.036 0 1
"114" "jf" "accuracy" "0" "dark" 0.944 0 1
"115" "jf" "accuracy" "0" "dark" 3.4 0 1
"116" "jf" "accuracy" "2" "light" 0.996 1 0
"117" "jf" "accuracy" "4" "light" 0.786 1 0
"118" "jf" "accuracy" "2" "light" 1.06 1 0
"119" "jf" "accuracy" "0" "dark" 4.035 0 1
"120" "jf" "accuracy" "2" "light" 1.137 1 0
"121" "jf" "accuracy" "3" "light" 1.027 1 0
"122" "jf" "accuracy" "4" "light" 1.243 1 0
"123" "jf" "accuracy" "4" "light" 0.796 1 0
"124" "jf" "accuracy" "2" "light" 1.622 1 0
"125" "jf" "accuracy" "1" "dark" 1.198 0 1
"126" "jf" "accuracy" "4" "light" 1.385 1 0
"127" "jf" "accuracy" "4" "light" 1.043 1 0
"128" "jf" "accuracy" "2" "dark" 1.676 0 1
"129" "jf" "accuracy" "1" "dark" 2.218 0 1
